bairro,precos,quartos,areas,IDHM,regional
Pinheirinho,1190.0,2.0,51.0,0.785,Regional pinheirinho
Pinheirinho,1000.0,3.0,91.0,0.785,Regional pinheirinho
Pinheirinho,900.0,3.0,63.0,0.785,Regional pinheirinho
Pinheirinho,700.0,3.0,61.0,0.785,Regional pinheirinho
Pinheirinho,900.0,3.0,70.0,0.785,Regional pinheirinho
Pinheirinho,790.0,2.0,50.0,0.785,Regional pinheirinho
Pinheirinho,890.0,2.0,50.0,0.785,Regional pinheirinho
Pinheirinho,2266.0,3.0,150.0,0.785,Regional pinheirinho
Pinheirinho,890.0,2.0,50.0,0.785,Regional pinheirinho
Pinheirinho,950.0,2.0,47.0,0.785,Regional pinheirinho
Pinheirinho,900.0,1.0,40.0,0.785,Regional pinheirinho
Portao,1300.0,2.0,60.0,0.887,Regional portao
Portao,1150.0,2.0,50.0,0.887,Regional portao
Portao,880.0,1.0,37.0,0.887,Regional portao
Portao,1200.0,2.0,60.0,0.887,Regional portao
Portao,1100.0,1.0,45.0,0.887,Regional portao
Portao,650.0,1.0,30.0,0.887,Regional portao
Portao,1300.0,,35.0,0.887,Regional portao
Portao,1500.0,1.0,70.0,0.887,Regional portao
Portao,900.0,1.0,53.0,0.887,Regional portao
Portao,1250.0,3.0,110.0,0.887,Regional portao
Portao,800.0,1.0,30.0,0.887,Regional portao
Portao,1100.0,2.0,83.0,0.887,Regional portao
Portao,900.0,3.0,84.0,0.887,Regional portao
Portao,900.0,1.0,47.0,0.887,Regional portao
Portao,930.0,3.0,60.0,0.887,Regional portao
Portao,750.0,3.0,70.0,0.887,Regional portao
Portao,700.0,2.0,47.0,0.887,Regional portao
Portao,850.0,2.0,46.0,0.887,Regional portao
Portao,2300.0,3.0,110.0,0.887,Regional portao
Prado velho,1100.0,1.0,18.0,0.809,Regional matriz
Prado velho,750.0,1.0,36.0,0.809,Regional matriz
Prado velho,900.0,1.0,32.0,0.809,Regional matriz
Prado velho,1100.0,1.0,19.0,0.809,Regional matriz
Prado velho,716.0,1.0,64.0,0.809,Regional matriz
Prado velho,800.0,1.0,63.0,0.809,Regional matriz
Prado velho,1150.0,3.0,59.0,0.809,Regional matriz
Prado velho,750.0,1.0,36.0,0.809,Regional matriz
Reboucas,1100.0,1.0,57.0,0.903,Regional matriz
Reboucas,1648.0,1.0,29.0,0.903,Regional matriz
Reboucas,990.0,1.0,28.0,0.903,Regional matriz
Reboucas,750.0,1.0,33.0,0.903,Regional matriz
Reboucas,690.0,1.0,33.0,0.903,Regional matriz
Reboucas,800.0,1.0,33.0,0.903,Regional matriz
Reboucas,1800.0,1.0,30.0,0.903,Regional matriz
Reboucas,2890.0,1.0,28.0,0.903,Regional matriz
Reboucas,783.0,1.0,34.0,0.903,Regional matriz
Reboucas,679.0,1.0,33.0,0.903,Regional matriz
Reboucas,680.0,1.0,32.0,0.903,Regional matriz
Reboucas,679.0,1.0,33.0,0.903,Regional matriz
Reboucas,788.0,1.0,40.0,0.903,Regional matriz
Reboucas,950.0,2.0,78.0,0.903,Regional matriz
Reboucas,1100.0,3.0,103.0,0.903,Regional matriz
Reboucas,1450.0,2.0,58.0,0.903,Regional matriz
Reboucas,1350.0,1.0,35.0,0.903,Regional matriz
Reboucas,700.0,1.0,28.0,0.903,Regional matriz
Reboucas,1600.0,1.0,30.0,0.903,Regional matriz
Reboucas,499.0,2.0,60.0,0.903,Regional matriz
Reboucas,920.0,2.0,61.0,0.903,Regional matriz
Reboucas,1578.0,1.0,37.0,0.903,Regional matriz
Reboucas,1000.0,2.0,60.0,0.903,Regional matriz
Reboucas,960.0,1.0,17.0,0.903,Regional matriz
Reboucas,553.0,3.0,80.0,0.903,Regional matriz
Reboucas,1100.0,3.0,128.0,0.903,Regional matriz
Reboucas,1367.0,1.0,28.0,0.903,Regional matriz
Reboucas,1600.0,,117.0,0.903,Regional matriz
Reboucas,1800.0,3.0,80.0,0.903,Regional matriz
Reboucas,1100.0,1.0,45.0,0.903,Regional matriz
Reboucas,1000.0,4.0,214.0,0.903,Regional matriz
